ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1996,2305,1,-99,0,0.002,0.154,0.663,0.181,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1997,689,1,-99,0,0,0.007,0.619,0.374,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1998,491,1,-99,0,0.014,0.082,0.493,0.411,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1999,299,1,-99,0,0.031,0.354,0.458,0.156,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2000,290,1,-99,0,0.016,0.172,0.742,0.07,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2001,802,0.73,-99,0,0.022,0.203,0.681,0.094,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2002,877,0.97,-99,0,0.01,0.257,0.553,0.18,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2003,1106,0.89,-99,0,0.007,0.082,0.661,0.25,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2004,1503,0.91,-99,0,0.025,0.079,0.62,0.276,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2005,853,0.6,-99,0,0,0.16,0.47,0.33,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2006,566,1,-99,0,0.009,0.08,0.62,0.28,0.009,0
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2007,251,1,-99,0,0.07,0.1,0.5,0.3,0.03,0
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2008,424,0.52,-99,0,0.05,0.32,0.56,0.07,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2009,783,0.63,-99,0,0.004,0.21,0.76,0.02,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2010,639,0.7,-99,0,-99,0.264,0.595,0.141,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2011,566,0.88,-99,0,-99,0.171,0.757,0.053,0.02,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2012,413,0.86,-99,0,-99,0.309,0.431,0.257,0.003,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2013,2035,0.69,-99,0,-99,0.235,0.758,0.008,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,2014,890,0.96,-99,0,-99,0.277,0.779,0.152,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1964,3020,-99,-99,0,0.019,0.561,0.336,0.084,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1965,2539,-99,-99,0,0.115,0.164,0.68,0.041,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1966,2984,-99,-99,0,0.02,0.522,0.377,0.081,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1967,3182,-99,-99,0,0.063,0.254,0.636,0.047,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1968,3594,-99,-99,0,0.052,0.376,0.445,0.128,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1969,2973,-99,-99,0,0.104,0.275,0.552,0.069,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1970,3186,-99,-99,0,0.072,0.535,0.344,0.049,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1971,3277,-99,-99,0,0.02,0.349,0.599,0.031,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1972,2869,-99,-99,0,0.063,0.207,0.663,0.067,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1973,3350,-99,-99,0,0.001,0.301,0.693,0.005,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1974,3125,-99,-99,0,0.097,0.034,0.703,0.165,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1975,5448,-99,-99,0,0.02,0.902,0.025,0.053,0,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,,1976,2383,-99,-99,0,0.014,0.217,0.767,0.002,0,-99
