ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2001,3847,0.39
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2002,2544,0.05
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2003,3792,0.56
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2004,4611,0.02
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2005,2066,0.13
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2006,622,0.62
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2007,335,0.48
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2008,735,0.49
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2009,390,0.93
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2010,2778,0.07
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2011,1678,0.07
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2012,180,0.13
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2013,1033,0.2
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2014,656,0.08
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1980,992,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1981,324,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1982,986,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1983,732,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1984,1565,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1985,512,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1986,1875,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1987,6850,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1988,5267,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1989,3483,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1990,1345,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1991,1607,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1992,1254,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1993,1518,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1994,475,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1995,270,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1996,493,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1997,410,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1998,211,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,1999,240,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2000,439,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2001,642,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2002,483,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2003,679,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2004,494,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2005,116,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2006,847,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2007,264,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2008,25,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2009,58,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2010,157,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2011,120,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2012,318,1
Lower Columbia River Chinook Salmon ESU,Cascade,North Fork Lewis River,Chinook,Spring-run,2013,60,1
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1981,3156,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1982,3655,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1983,2575,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1984,3323,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1985,2087,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1986,2845,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1987,9160,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1988,6958,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1989,8557,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1990,3516,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1991,2939,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1992,4185,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1993,5733,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1994,2420,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1995,4382,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1996,2119,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1997,8443,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1998,3251,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1999,1890,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2000,363,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2001,3510,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2002,5463,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2003,3993,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2004,2524,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2005,3998,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2006,5359,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2007,178,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2013,2489,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1981,1089,0.343
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1982,522,0.646
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1983,1837,0.475
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1984,1211,0.475
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1985,561,0.476
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1986,702,0.363
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1987,1400,0.476
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1988,1940,0.475
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1989,1376,0.302
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1990,1557,0.374
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1991,1888,0.282
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1992,4451,0.282
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1993,3429,0.282
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1994,2309,0.283
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1995,1503,0.278
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1996,2561,0.272
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1997,3301,0.283
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1998,2615,0.268
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,1999,2032,0.286
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2000,1986,0.284
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2001,2445,0.404
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2002,1262,0.82
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2003,1197,0.88
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2004,2698,0.85
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2005,1653,0.85
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2006,1349,0.896
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2007,1410,0.925
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2008,4965,0.548
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2009,1821,0.47
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2010,6076,0.229
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2011,3434,0.335
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2012,4024,0.763
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2013,2413,0.907
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,2014,1658,0.871
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1964,2494,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1965,1465,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1966,1348,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1967,1562,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1968,2515,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1969,2548,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1970,4170,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1971,5729,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1972,6597,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1973,1043,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1974,1516,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1975,703,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1976,1694,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1977,1054,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1978,6743,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1979,4557,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1980,37,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1981,163,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1982,9,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1983,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1984,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1985,9,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1986,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1987,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1988,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1989,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1990,123,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1991,156,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1992,150,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1993,184,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1994,516,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1995,405,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1996,1376,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1997,560,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1998,1353,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1999,720,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2000,879,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2001,4971,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2002,7896,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2003,13943,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2004,4711,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2005,3303,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2006,5752,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2007,1149,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2008,1725,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2009,539,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2010,2139,0.13
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2011,1608,0.21
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2012,908,0.24
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2013,2283,0.42
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2014,745,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,1996,437,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,1997,27,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,1998,257,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,1999,1,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2000,1,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2001,3646,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2002,6113,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2003,4165,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2004,2145,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2005,2901,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2006,1782,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2007,1325,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2008,1845,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2009,7491,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2010,10142,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2011,14182,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2012,6143,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2013,7366,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1980,166,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1981,959,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1982,209,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1983,70,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1984,147,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1985,156,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1986,467,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1987,71,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1988,172,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1989,563,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1990,278,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1991,149,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1992,266,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1993,214,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1994,159,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1995,282,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1996,40,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1997,462,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1998,262,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,1999,326,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2000,468,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2001,443,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2002,2365,0.19
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2003,11056,0.06
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2004,13017,0.02
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2005,6524,0.02
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2006,3774,0.02
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2007,1640,0.04
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2008,1046,0.11
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2009,2826,0.04
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2010,7424,0.04
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2011,2059,0.09
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2012,5610,0.06
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2013,3577,0.11
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Spring-run,2014,2915,0.08
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1964,774,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1965,83,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1966,862,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1967,228,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1968,254,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1969,29,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1970,51,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1971,1801,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1972,1190,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1973,472,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1974,481,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1975,556,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1976,549,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1977,922,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1978,1322,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1979,884,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1980,355,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1981,197,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1982,361,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1983,442,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1984,126,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1985,168,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1986,403,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1987,776,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1988,1206,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1989,112,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1990,11,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1991,52,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1992,54,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1993,0,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1994,11,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1995,4,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1996,166,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1997,148,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1998,202,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1999,126,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2000,12,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2001,407,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2002,365,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2003,1499,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2004,754,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2005,452,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2006,235,0
