"pop","years","total.raw","total.smoothed","total.smoothed.high","total.smoothed.low","wild.smoothed"
"White Salmon R. FR",1992,132,142.85,281.37,72.52,141.5
"White Salmon R. FR",1993,105,141.85,280.09,71.84,138.34
"White Salmon R. FR",1994,283,165.25,325.48,83.9,159.51
"White Salmon R. FR",1995,222,149.56,294.56,75.93,142.16
"White Salmon R. FR",1996,32,152.72,300.17,77.7,139.96
"White Salmon R. FR",1997,124,186.33,366.2,94.81,154.41
"White Salmon R. FR",1998,223,226.45,444.99,115.23,174.27
"White Salmon R. FR",1999,401,226.09,444.26,115.06,146.99
"White Salmon R. FR",2000,147,242.22,475.94,123.27,126.16
"White Salmon R. FR",2001,1668,1139.54,2239.06,579.95,458.54
"White Salmon R. FR",2002,1787,2231.31,4384.31,1135.58,772.77
"White Salmon R. FR",2003,11480,3675.82,7222.91,1870.67,943.22
"White Salmon R. FR",2004,8691,3093.54,6079.25,1574.21,722.25
"White Salmon R. FR",2005,1448,1729.78,3399.88,880.07,439.03
"White Salmon R. FR",2006,755,1236,2430.25,628.62,430.07
"White Salmon R. FR",2007,898,811.02,1595.59,412.23,358.55
"White Salmon R. FR",2008,770,767.81,1515.56,388.98,411.73
"White Salmon R. FR",2009,964,828.09,1638.11,418.61,522.02
"White Salmon R. FR",2010,1505,1260.5,2524.82,629.3,913.27
"White Salmon R. FR",2011,379,1052.34,2117.89,522.88,855.76
"White Salmon R. FR",2012,755,857.74,1765.37,416.75,716.28
"White Salmon R. FR",2013,1232,1123.11,2398.65,525.87,855.85
"White Salmon R. FR",2014,1704,1028.16,2449.11,431.63,803.01
"White Salmon R. SpR",1980,1598,708.61,1401,358.41,708.61
"White Salmon R. SpR",1981,839,654.32,1288.89,332.18,654.32
"White Salmon R. SpR",1982,1579,545.84,1075.47,277.03,545.84
"White Salmon R. SpR",1983,280,421.36,832.22,213.33,421.36
"White Salmon R. SpR",1984,393,272.35,537.85,137.91,272.35
"White Salmon R. SpR",1985,153,190.83,376.89,96.62,190.82
"White Salmon R. SpR",1986,116,197.24,389.48,99.88,197.23
"White Salmon R. SpR",1987,161,290.3,573.3,147,290.28
"White Salmon R. SpR",1988,382,371.78,734.19,188.26,371.7
"White Salmon R. SpR",1989,243,317.23,626.43,160.65,317.07
"White Salmon R. SpR",1990,145,156.71,308.71,79.55,156.5
"White Salmon R. SpR",1991,75,162.17,319.46,82.32,161.58
"White Salmon R. SpR",1992,1078,226.45,446.05,114.97,224.31
"White Salmon R. SpR",1993,108,196.77,388.55,99.65,191.91
"White Salmon R. SpR",1994,288,209.75,413.12,106.49,202.47
"White Salmon R. SpR",1995,253,179.51,353.55,91.14,170.63
"White Salmon R. SpR",1996,32,174.68,343.33,88.87,160.08
"White Salmon R. SpR",1997,124,207.2,407.23,105.43,171.7
"White Salmon R. SpR",1998,242,248.72,488.77,126.57,191.4
"White Salmon R. SpR",1999,401,245.73,482.87,125.05,159.72
"White Salmon R. SpR",2000,167,263.76,518.3,134.22,137.24
"White Salmon R. SpR",2001,2072,1235.36,2427.75,628.61,495.45
"White Salmon R. SpR",2002,1859,2359.84,4638.55,1200.56,809.06
"White Salmon R. SpR",2003,11898,3801.93,7476.53,1933.33,940.88
"White Salmon R. SpR",2004,8849.99999999999,3128.24,6157.78,1589.19,655.6
"White Salmon R. SpR",2005,1504,1708.35,3369.93,866.03,326.73
"White Salmon R. SpR",2006,796,1183.28,2344.71,597.15,217.94
"White Salmon R. SpR",2007,1014,741.87,1484.07,370.85,131.4
"White Salmon R. SpR",2008,775,650.35,1330.41,317.92,110.59
"White Salmon R. SpR",2009,1342,633,1355.21,295.67,103.17
"White Salmon R. SpR",2010,NA,795.21,1935.92,326.65,123.99
"White Salmon R. SpR",2011,NA,562.59,1429.15,221.46,83.74
"White Salmon R. SpR",2012,NA,333.71,853.2,130.52,47.31
"White Salmon R. SpR",2013,88,311.99,742.35,131.12,42.03
"White Salmon R. SpR",2014,216,249.71,635.19,98.16,23.06
